==12716== NVPROF is profiling process 12716, command: .\runnable.exe
==12716== Profiling application: .\runnable.exe
==12716== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
ms,ms,,,,,,,,B,KB,KB,GB/s,,,,,,,
803.555117,0.005792,,,,,,,,,,18.375000,3.025512,"Device","Pageable","NVIDIA GeForce MX250 (0)","1","7","[CUDA memcpy DtoH]",165
803.618000,0.849200,,,,,,,,,,,,,,,,,"cudaLaunchKernel",166
804.460512,0.001440,5,1,1,1024,1,1,8,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","subtraction_scalar_parametric(float*, float, int)",166
804.469500,0.961000,,,,,,,,,,,,,,,,,"cudaLaunchKernel",167
805.421970,0.001440,5,1,1,1024,1,1,8,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_scalar_product(float*, float, int)",167
805.434300,0.036800,,,,,,,,,,,,,,,,,"cudaLaunchKernel",168
805.467601,0.001856,1,1,6,28,28,1,14,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","tanh(float*, int, int, int)",168
805.472800,0.794200,,,,,,,,,,,,,,,,,"cudaLaunchKernel",169
806.261189,0.002528,1,1,2,14,14,5,21,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",169
806.269300,0.022100,,,,,,,,,,,,,,,,,"cudaLaunchKernel",170
806.288453,0.001568,1,1,2,14,14,5,14,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","tanh(float*, int, int, int)",170
806.292900,0.035100,,,,,,,,,,,,,,,,,"cudaLaunchKernel",171
806.325285,0.018111,1,1,4,14,14,5,32,0,13.968750,,,,,"NVIDIA GeForce MX250 (0)","1","7","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",171
806.329500,0.075100,,,,,,,,,,,,,,,,,"cudaMemcpy",172
806.384004,0.002048,,,,,,,,,,6.250000,2.910383,"Device","Pageable","NVIDIA GeForce MX250 (0)","1","7","[CUDA memcpy DtoH]",172
806.415800,0.035000,,,,,,,,,,,,,,,,,"cudaLaunchKernel",173
806.447491,0.001312,2,1,1,1024,1,1,8,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","subtraction_scalar_parametric(float*, float, int)",173
806.452000,0.020100,,,,,,,,,,,,,,,,,"cudaLaunchKernel",174
806.469762,0.001313,2,1,1,1024,1,1,8,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_scalar_product(float*, float, int)",174
806.474000,0.018400,,,,,,,,,,,,,,,,,"cudaLaunchKernel",175
806.491042,0.001376,1,1,2,10,10,10,14,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","tanh(float*, int, int, int)",175
806.498500,0.024400,,,,,,,,,,,,,,,,,"cudaLaunchKernel",176
806.520418,0.002112,1,1,1,5,5,16,21,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",176
806.523900,0.029500,,,,,,,,,,,,,,,,,"cudaLaunchKernel",177
806.550945,0.001280,1,1,1,5,5,16,14,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","tanh(float*, int, int, int)",177
806.554600,0.018900,,,,,,,,,,,,,,,,,"cudaLaunchKernel",178
806.571201,0.055391,1,1,5,5,5,29,32,0,46.875000,,,,,"NVIDIA GeForce MX250 (0)","1","7","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",178
806.574500,0.161600,,,,,,,,,,,,,,,,,"cudaMemcpy",179
806.722143,0.001056,,,,,,,,,,0.468750,0.423328,"Device","Pageable","NVIDIA GeForce MX250 (0)","1","7","[CUDA memcpy DtoH]",179
806.738500,0.033000,,,,,,,,,,,,,,,,,"cudaLaunchKernel",180
806.767582,0.001184,1,1,1,120,1,1,8,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","subtraction_scalar_parametric(float*, float, int)",180
806.772400,0.020400,,,,,,,,,,,,,,,,,"cudaLaunchKernel",181
806.790302,0.001152,1,1,1,120,1,1,8,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_scalar_product(float*, float, int)",181
806.794200,0.000600,,,,,,,,,,,,,,,,,"cudaLaunchKernel",182
806.795700,0.794700,,,,,,,,,,,,,,,,,"cudaLaunchKernel",183
807.585042,0.030944,4,3,1,32,32,1,32,0,8.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_product_shared(float*, float*, float*, int, int, int, int)",183
807.592800,0.021600,,,,,,,,,,,,,,,,,"cudaLaunchKernel",184
807.615500,0.018800,,,,,,,,,,,,,,,,,"cudaLaunchKernel",185
